rank,team,salary,salary(Inflation),Year
1,LA Lakers,"42,068,300","73,277,572",1995
2,Orlando,"29,069,916","50,636,050",1995
3,Cleveland,"28,106,000","48,957,036",1995
4,Portland,"26,658,000","46,434,808",1995
5,New York,"25,748,900","44,851,269",1995
6,Indiana,"24,918,500","43,404,821",1995
7,Boston,"24,462,000","42,609,654",1995
8,Oklahoma City,"24,073,500","41,932,940",1995
9,Phoenix,"23,170,884","40,360,696",1995
10,Brooklyn,"23,121,800","40,275,197",1995
11,San Antonio,"22,721,982","39,578,768",1995
12,Chicago,"22,053,129","38,413,709",1995
13,Denver,"21,940,500","38,217,525",1995
14,Atlanta,"21,869,340","38,093,574",1995
15,Sacramento,"20,209,000","35,201,476",1995
16,Miami,"20,142,000","35,084,772",1995
17,Golden State,"19,797,300","34,484,348",1995
18,Philadelphia,"19,709,510","34,331,429",1995
19,Charlotte,"19,346,658","33,699,386",1995
20,Utah,"18,708,950","32,588,580",1995
21,Dallas,"18,053,100","31,446,176",1995
22,LA Clippers,"17,876,700","31,138,908",1995
23,Minnesota,"17,673,260","30,784,540",1995
24,Houston,"17,578,600","30,619,652",1995
25,Washington,"17,049,750","29,698,467",1995
26,Detroit,"16,339,300","28,460,954",1995
27,Milwaukee,"16,256,960","28,317,527",1995
