rank,team,salary,salary(Inflation),Year
1,Portland,"73,898,705","114,626,133",2000
2,New York,"72,288,001","112,127,728",2000
3,LA Lakers,"55,018,533","85,340,621",2000
4,Indiana,"54,988,605","85,294,196",2000
5,Brooklyn,"53,245,461","82,590,364",2000
6,Washington,"53,194,441","82,511,226",2000
7,Miami,"52,496,573","81,428,740",2000
8,Houston,"52,269,367","81,076,318",2000
9,Utah,"50,348,426","78,096,701",2000
10,Cleveland,"46,547,966","72,201,712",2000
11,Phoenix,"46,544,037","72,195,616",2000
12,Boston,"46,152,875","71,588,876",2000
13,Milwaukee,"44,680,197","69,304,569",2000
14,Atlanta,"44,169,202","68,511,952",2000
15,Philadelphia,"43,890,593","68,079,794",2000
16,Minnesota,"42,642,272","66,143,493",2000
17,San Antonio,"42,529,801","65,969,036",2000
18,Detroit,"42,141,801","65,367,200",2000
19,Orlando,"41,586,801","64,506,322",2000
20,Denver,"40,677,095","63,095,255",2000
21,Sacramento,"40,113,125","62,220,470",2000
22,Dallas,"40,014,500","62,067,488",2000
23,Charlotte,"38,619,012","59,902,913",2000
24,Oklahoma City,"38,258,910","59,344,348",2000
25,Memphis,"37,432,688","58,062,776",2000
26,Golden State,"36,133,518","56,047,597",2000
27,Toronto,"34,730,320","53,871,064",2000
