rank,team,salary,salary(Inflation),Year
1,Boston,"25,217,000","46,368,515",1993
2,Cleveland,"19,676,000","36,179,836",1993
3,LA Lakers,"18,851,000","34,662,841",1993
4,Chicago,"18,536,000","34,083,626",1993
5,San Antonio,"18,083,000","33,250,659",1993
6,Atlanta,"18,036,000","33,164,237",1993
7,Philadelphia,"17,367,000","31,934,091",1993
8,Washington,"17,249,000","31,717,113",1993
9,Portland,"16,369,000","30,098,989",1993
10,Brooklyn,"16,314,000","29,997,856",1993
11,Indiana,"16,268,000","29,913,272",1993
12,Houston,"15,877,000","29,194,309",1993
13,Golden State,"15,473,000","28,451,442",1993
14,Miami,"15,125,000","27,811,547",1993
15,Orlando,"14,970,000","27,526,533",1993
16,Utah,"14,517,000","26,693,570",1993
17,LA Clippers,"14,288,000","26,272,487",1993
18,Phoenix,"14,280,000","26,257,776",1993
19,Charlotte,"14,150,000","26,018,735",1993
20,Oklahoma City,"14,033,000","25,803,599",1993
21,Milwaukee,"14,032,000","25,801,759",1993
22,New York,"14,001,000","25,744,758",1993
23,Detroit,"13,954,000","25,658,335",1993
24,Sacramento,"13,953,000","25,656,496",1993
25,Denver,"13,776,180","25,331,361",1993
26,Minnesota,"13,732,000","25,250,125",1993
27,Dallas,"10,859,000","19,967,311",1993
