rank,team,salary,salary(Inflation),Year
1,New York,"85,993,039","124,543,515",2002
2,Portland,"84,292,850","122,081,136",2002
3,Brooklyn,"75,193,712","108,902,877",2002
4,Philadelphia,"58,073,366","84,107,518",2002
5,Dallas,"57,960,080","83,943,444",2002
6,Phoenix,"56,596,369","81,968,386",2002
7,Milwaukee,"56,224,266","81,429,470",2002
8,Minnesota,"55,093,782","79,792,192",2002
9,Sacramento,"54,921,012","79,541,971",2002
10,Washington,"54,776,087","79,332,075",2002
11,Denver,"54,460,475","78,874,976",2002
12,LA Lakers,"54,262,017","78,587,549",2002
13,Indiana,"53,398,621","77,337,095",2002
14,Miami,"53,351,186","77,268,395",2002
15,Toronto,"52,657,161","76,263,240",2002
16,Utah,"52,642,362","76,241,809",2002
17,Atlanta,"51,525,207","74,623,833",2002
18,Memphis,"50,920,631","73,748,227",2002
19,Charlotte,"49,999,445","72,414,075",2002
20,Houston,"49,168,169","71,210,143",2002
21,Golden State,"47,681,152","69,056,499",2002
22,Boston,"47,515,677","68,816,840",2002
23,Orlando,"45,984,001","66,598,516",2002
24,San Antonio,"45,844,814","66,396,932",2002
25,Cleveland,"45,649,974","66,114,748",2002
26,Oklahoma City,"45,556,733","65,979,707",2002
27,Chicago,"42,592,857","61,687,130",2002
