rank,team,salary,salary(Inflation),Year
1,Chicago,"61,330,670","98,632,947",1998
2,New York,"53,974,881","86,803,252",1998
3,Orlando,"43,954,299","70,687,990",1998
4,Washington,"40,718,075","65,483,447",1998
5,Indiana,"39,162,273","62,981,380",1998
6,San Antonio,"38,846,163","62,473,007",1998
7,Oklahoma City,"37,592,175","60,456,323",1998
8,Phoenix,"36,937,876","59,404,069",1998
9,LA Lakers,"36,304,583","58,385,598",1998
10,Miami,"34,641,186","55,710,494",1998
11,Golden State,"32,856,469","52,840,288",1998
12,Philadelphia,"31,420,520","50,530,972",1998
13,Atlanta,"30,133,827","48,461,692",1998
14,Sacramento,"30,046,350","48,321,007",1998
15,Utah,"28,505,442","45,842,898",1998
16,Brooklyn,"28,504,567","45,841,487",1998
17,Houston,"28,086,350","45,168,908",1998
18,Minnesota,"27,787,780","44,688,740",1998
19,Portland,"27,786,719","44,687,034",1998
20,Dallas,"27,268,948","43,854,348",1998
21,Charlotte,"27,006,013","43,431,490",1998
22,Boston,"26,800,500","43,100,980",1998
23,Cleveland,"26,677,290","42,902,831",1998
24,Denver,"26,518,960","42,648,201",1998
25,Milwaukee,"25,919,828","41,684,670",1998
26,Memphis,"25,637,110","41,229,998",1998
27,Detroit,"24,876,625","40,006,975",1998
28,Toronto,"24,748,905","39,801,574",1998
29,LA Clippers,"24,493,625","39,391,029",1998
