rank,team,salary,salary(Inflation),Year
1,Dallas,"101,694,879","125,828,564",2008
2,New York,"96,190,114","119,017,437",2008
3,Denver,"82,958,227","102,645,429",2008
4,Cleveland,"82,217,583","101,729,018",2008
5,Miami,"74,767,603","92,511,051",2008
6,Boston,"74,509,455","92,191,641",2008
7,Philadelphia,"74,038,229","91,608,582",2008
8,Portland,"73,241,335","90,622,575",2008
9,LA Lakers,"72,626,796","89,862,199",2008
10,Phoenix,"71,323,049","88,249,053",2008
11,San Antonio,"70,048,523","86,672,059",2008
12,Houston,"69,894,114","86,481,008",2008
13,Minnesota,"69,043,895","85,429,019",2008
14,Indiana,"66,260,246","81,984,772",2008
15,Toronto,"66,042,375","81,715,196",2008
16,Detroit,"65,898,875","81,537,641",2008
17,Washington,"65,278,996","80,770,657",2008
18,Utah,"64,959,089","80,374,831",2008
19,LA Clippers,"64,847,945","80,237,310",2008
20,Sacramento,"63,403,225","78,449,733",2008
21,Chicago,"63,084,166","78,054,961",2008
22,New Orleans,"62,609,991","77,468,256",2008
23,Milwaukee,"62,571,522","77,420,658",2008
24,Golden State,"62,148,303","76,897,002",2008
25,Brooklyn,"61,836,211","76,510,846",2008
26,Oklahoma City,"60,861,388","75,304,683",2008
27,Orlando,"58,165,973","71,969,607",2008
