rank,team,salary,salary(Inflation),Year
1,New York,"59,945,400","94,808,240",1999
2,Portland,"54,725,500","86,552,568",1999
3,Orlando,"46,118,000","72,939,146",1999
4,Indiana,"45,401,500","71,805,947",1999
5,Miami,"44,594,000","70,528,825",1999
6,Brooklyn,"43,735,000","69,170,249",1999
7,San Antonio,"43,681,143","69,085,072",1999
8,LA Lakers,"41,872,000","66,223,771",1999
9,Philadelphia,"41,509,920","65,651,113",1999
10,Atlanta,"40,954,940","64,773,371",1999
11,Phoenix,"36,101,500","57,097,283",1999
12,Dallas,"35,565,568","56,249,666",1999
13,Detroit,"34,699,620","54,880,102",1999
14,Toronto,"34,368,500","54,356,410",1999
15,Washington,"34,018,500","53,802,860",1999
16,Milwaukee,"33,703,240","53,304,252",1999
17,Memphis,"33,635,800","53,197,590",1999
18,Minnesota,"33,107,230","52,361,618",1999
19,Sacramento,"32,267,000","51,032,726",1999
20,Boston,"32,258,856","51,019,847",1999
21,Golden State,"30,985,000","49,005,147",1999
22,Charlotte,"30,452,000","48,162,166",1999
23,Oklahoma City,"30,413,082","48,100,614",1999
24,Utah,"30,298,560","47,919,491",1999
25,Houston,"30,297,100","47,917,183",1999
26,Denver,"29,392,200","46,486,011",1999
27,Cleveland,"28,714,000","45,413,386",1999
28,Chicago,"28,640,500","45,297,138",1999
29,LA Clippers,"28,417,580","44,944,576",1999
