rank,team,salary,salary(Inflation),Year
1,Cleveland,"23,711,000","42,331,190",1994
2,Portland,"23,534,000","42,015,189",1994
3,LA Lakers,"23,478,000","41,915,214",1994
4,Atlanta,"22,510,000","40,187,045",1994
5,New York,"22,109,000","39,471,142",1994
6,Phoenix,"21,485,000","38,357,113",1994
7,LA Clippers,"20,188,000","36,041,583",1994
8,Brooklyn,"20,107,000","35,896,976",1994
9,Orlando,"19,939,000","35,597,046",1994
10,San Antonio,"19,316,365","34,485,457",1994
11,Golden State,"19,239,000","34,347,334",1994
12,Chicago,"18,531,000","33,083,345",1994
13,Charlotte,"17,952,000","32,049,659",1994
14,Boston,"17,881,000","31,922,901",1994
15,Miami,"17,811,000","31,797,933",1994
16,Sacramento,"17,397,000","31,058,818",1994
17,Indiana,"17,196,000","30,699,973",1994
18,Utah,"16,990,000","30,332,202",1994
19,Houston,"16,757,000","29,916,229",1994
20,Washington,"16,240,000","28,993,225",1994
21,Denver,"16,110,000","28,761,141",1994
22,Oklahoma City,"15,967,000","28,505,845",1994
23,Detroit,"15,826,000","28,254,117",1994
24,Minnesota,"15,496,000","27,664,967",1994
25,Philadelphia,"15,354,000","27,411,455",1994
26,Milwaukee,"14,889,000","26,581,293",1994
27,Dallas,"14,321,000","25,567,242",1994
