rank,team,salary,salary(Inflation),Year
1,Portland,"87,395,140","130,685,637",2001
2,New York,"74,007,738","110,666,888",2001
3,Miami,"73,472,329","109,866,267",2001
4,Brooklyn,"68,977,578","103,145,079",2001
5,Washington,"59,085,969","88,353,738",2001
6,LA Lakers,"58,968,213","88,177,651",2001
7,Milwaukee,"57,819,318","86,459,659",2001
8,San Antonio,"57,215,938","85,557,399",2001
9,Indiana,"55,086,140","82,372,624",2001
10,Phoenix,"53,906,347","80,608,430",2001
11,Utah,"53,893,860","80,589,757",2001
12,Dallas,"52,274,842","78,168,771",2001
13,Denver,"52,189,220","78,040,738",2001
14,Oklahoma City,"51,538,658","77,067,926",2001
15,Boston,"51,478,707","76,978,277",2001
16,Philadelphia,"51,085,458","76,390,235",2001
17,Cleveland,"49,780,549","74,438,948",2001
18,Houston,"49,283,309","73,695,406",2001
19,Memphis,"48,899,840","73,121,988",2001
20,Minnesota,"47,488,500","71,011,552",2001
21,Charlotte,"46,441,558","69,446,013",2001
22,Sacramento,"46,266,289","69,183,929",2001
23,Golden State,"42,363,018","63,347,202",2001
24,Detroit,"40,475,338","60,524,473",2001
25,Atlanta,"39,297,129","58,762,651",2001
26,Toronto,"38,313,749","57,292,160",2001
27,Orlando,"37,459,860","56,015,304",2001
28,Chicago,"29,691,907","44,399,556",2001
29,LA Clippers,"29,606,189","44,271,376",2001
